name,code,category,unit,mrp_price,selling_price,gst_rate,cess_rate,reorder_level,danger_level,min_stock,max_stock,tags,composition,hsn_code,hsn_id,schedule,manufacturer
Cefuroxime 131,MED35549,Antibiotic,Capsule,427.37,391.31,28,2,155,14,274,1193,"essential,otc",Cefuroxime 10mg + Excipients,30043100,7806,X,Novartis India
Dexamethasone 276ml,MED83491,Antidiabetic,Injection,445.74,409.72,12,0,114,50,199,2128,"otc,essential,prescription",Dexamethasone 100mg + Excipients,30042000,7346,X,Lupin
Eye Drops 555,MED67751,Antifungal,Syrup,96.72,87.89,5,0,185,21,443,3490,"essential,branded",Eye 100mg + Excipients,30033100,8039,X,Lupin
Famciclovir 866ml,MED55271,Antiparasitic,Capsule,308.63,247.66,18,0,149,16,425,3063,"otc,essential",Famciclovir 10mg + Excipients,30049000,8316,X,Lupin
Aspirin 330mg,MED65770,Antiviral,Drops,343.82,306.32,12,0,156,27,464,3711,"branded,prescription,otc",Aspirin 5mg + Excipients,30033100,7939,X,Torrent
Velpatasvir 271mg,MED14414,Antacid,Injection,116.9,104.2,18,0,149,27,327,3999,essential,Velpatasvir 250mg + Excipients,30039000,1365,H1,Cipla
Zanamivir 738mg,MED41626,Antiemetic,Capsule,226.1,214.27,18,0,154,26,242,2669,"branded,otc",Zanamivir 10mg + Excipients,30031000,3076,C,Pfizer India
Doxycycline 544,MED42559,Otic,Tablet,477.58,427.72,18,0,176,24,291,2584,"otc,generic",Doxycycline 250mg + Excipients,30041000,5185,X,Bayer India
Cefixime 618ml,MED53864,Antiviral,Inhaler,175.52,142.92,12,0,146,32,173,4417,generic,Cefixime 100mg + Excipients,30043100,2547,H1,Mankind
Bictegravir 151,MED43902,Laxative,Tablet,197.08,163.57,12,0,171,37,445,4937,essential,Bictegravir 500mg + Excipients,30042000,1519,None,Merck India
Antacid 344,MED14734,Antihypertensive,Tablet,471.18,417.66,12,0,197,50,334,3181,"generic,branded",Antacid 10mg + Excipients,30043100,8558,H,AstraZeneca India
Prednisolone 409mg,MED14762,Antiparasitic,Capsule,479.0,392.25,18,0,137,19,350,3475,"prescription,otc",Prednisolone 500mg + Excipients,30049000,5178,C,Sun Pharma
Ranitidine 696mg,MED97065,Antacid,Gel,307.66,253.6,28,2,125,25,133,3396,"prescription,generic,essential",Ranitidine 100mg + Excipients,30049000,2733,C,Boehringer Ingelheim India
Zidovudine 169mg,MED89337,Otic,Capsule,103.99,91.7,18,0,188,21,380,1168,"generic,essential",Zidovudine 5mg + Excipients,30043900,7288,C,Abbott India
Didanosine 422,MED55040,Antiemetic,Cream,394.64,316.44,18,0,145,40,436,4300,"prescription,generic",Didanosine 100mg + Excipients,30039000,5324,C,Mankind
Antifungal Cream 544mg,MED29797,Antiparasitic,Capsule,208.38,188.95,18,0,170,35,446,4983,"generic,prescription",Antifungal 5mg + Excipients,30033100,9571,None,Pfizer India
Levocetirizine 555,MED50710,Antihistamine,Inhaler,438.7,378.31,5,0,161,18,420,3161,otc,Levocetirizine 250mg + Excipients,30032000,1583,H1,Merck India
Pantoprazole 452ml,MED18933,Laxative,Ointment,168.22,156.85,28,1,187,15,298,1505,"otc,generic,prescription",Pantoprazole 100mg + Excipients,30041000,1460,None,Cadila
Diazepam 346ml,MED59921,Sedative,Tablet,227.62,204.13,12,0,151,26,153,2352,generic,Diazepam 500mg + Excipients,30042000,8849,None,Aurobindo
Iron 978mg,MED88113,Antihypertensive,Injection,494.67,469.41,12,0,51,36,441,3454,essential,Iron 5mg + Excipients,30033100,1998,H1,GSK India
Lopinavir 712mg,MED83088,Antiviral,Drops,491.99,461.74,5,0,68,17,303,2373,"essential,otc",Lopinavir 250mg + Excipients,30049000,5758,None,Torrent
Mebendazole 245,MED86071,Antimalarial,Cream,496.03,400.49,28,0,110,15,296,4141,"generic,essential,prescription",Mebendazole 20mg + Excipients,30032000,3583,X,Mankind
Budesonide 239mg,MED65031,Antibiotic,Capsule,153.81,142.65,12,0,175,35,385,1221,"prescription,generic",Budesonide 20mg + Excipients,30034000,1215,None,Abbott India
Artemether 109ml,MED10502,Antacid,Patch,49.55,46.02,5,0,91,25,488,4428,"otc,essential",Artemether 20mg + Excipients,30041000,7660,H,Merck India
Ivermectin 755ml,MED98329,Otic,Drops,441.88,373.22,5,0,121,16,364,2257,"essential,generic,branded",Ivermectin 500mg + Excipients,30043900,2745,C,Bayer India
Glecaprevir 913,MED78287,Antiparasitic,Patch,376.41,314.78,18,0,152,13,231,3102,prescription,Glecaprevir 500mg + Excipients,30043100,7530,C,Alkem
Acyclovir 365,MED12305,Nasal,Patch,354.56,335.16,5,0,66,50,371,1338,"prescription,branded,otc",Acyclovir 5mg + Excipients,30031000,6508,H,Aurobindo
Clarithromycin 481,MED65485,Sedative,Injection,407.4,359.75,5,0,183,32,156,4078,essential,Clarithromycin 100mg + Excipients,30033100,7878,H1,Merck India
Antiseptic 359mg,MED57883,Steroid,Drops,156.02,140.87,12,0,127,15,496,4136,"branded,prescription,generic",Antiseptic 5mg + Excipients,30044000,7570,X,Torrent
Tinidazole 189ml,MED84558,Antihistamine,Injection,445.14,396.59,5,0,88,15,212,4477,essential,Tinidazole 10mg + Excipients,30034000,1136,H1,Eli Lilly India
Telbivudine 997,MED49957,Antiparasitic,Inhaler,286.2,268.43,5,0,61,12,305,3425,"prescription,otc,branded",Telbivudine 5mg + Excipients,30031000,2127,None,AstraZeneca India
Telbivudine 498mg,MED67558,Supplement,Gel,109.26,94.71,18,0,156,20,199,4963,"essential,branded,generic",Telbivudine 5mg + Excipients,30041000,5738,None,Cadila
Azithromycin 793,MED87721,Nasal,Syrup,12.51,11.1,5,0,72,41,115,2109,otc,Azithromycin 250mg + Excipients,30042000,9469,None,Dr. Reddys
Grazoprevir 940mg,MED71283,Supplement,Patch,223.16,192.84,12,0,166,10,365,2199,"branded,otc,essential",Grazoprevir 250mg + Excipients,30042000,2641,None,Alkem
Zidovudine 560,MED22212,Sedative,Tablet,291.46,274.63,28,0,146,10,409,2967,essential,Zidovudine 500mg + Excipients,30032000,5208,H1,Pfizer India
Dexamethasone 345,MED37139,Antimalarial,Ointment,311.2,264.49,5,0,171,50,363,1724,"branded,generic,prescription",Dexamethasone 20mg + Excipients,30043100,1257,H,Cadila
Metronidazole 143mg,MED90459,Steroid,Tablet,95.73,86.32,18,0,127,33,266,1447,"otc,generic,prescription",Metronidazole 250mg + Excipients,30033100,4256,H1,Johnson & Johnson India
Diclofenac 766ml,MED88716,Supplement,Injection,35.6,30.87,28,1,195,44,144,4381,"otc,generic,branded",Diclofenac 5mg + Excipients,30044000,1081,C,Abbott India
Albendazole 164mg,MED77183,Antihypertensive,Patch,314.49,256.66,5,0,52,17,275,1647,"essential,prescription,otc",Albendazole 250mg + Excipients,30034000,5437,X,Pfizer India
Azithromycin 200,MED17923,Nasal,Patch,242.11,226.45,12,0,50,39,257,1473,"prescription,essential",Azithromycin 100mg + Excipients,30042000,2242,H,Novartis India
Prednisolone 480ml,MED24371,Otic,Capsule,397.98,370.04,12,0,193,40,230,1962,"essential,prescription",Prednisolone 500mg + Excipients,30033900,1112,H,Dr. Reddys
Clonazepam 837,MED15039,Antimalarial,Drops,102.78,82.65,18,0,54,25,456,4197,"generic,otc",Clonazepam 10mg + Excipients,30049000,2666,C,GSK India
Cabotegravir 279,MED67505,Antiviral,Patch,323.46,285.12,18,0,195,26,290,3139,essential,Cabotegravir 100mg + Excipients,30042000,7877,H,Eli Lilly India
Naproxen 814ml,MED52564,Antacid,Injection,46.9,39.46,28,0,88,47,349,2186,prescription,Naproxen 500mg + Excipients,30049000,1874,H1,Eli Lilly India
Clarithromycin 194mg,MED33924,Vitamin,Ointment,251.2,232.57,18,0,179,49,270,4430,"otc,generic,essential",Clarithromycin 5mg + Excipients,30031000,8304,C,Cipla
Adefovir 447,MED38615,Sedative,Drops,331.44,273.59,18,0,121,46,258,1157,"essential,otc",Adefovir 500mg + Excipients,30044000,5883,H,Mankind
Zolpidem 666mg,MED17297,Supplement,Cream,36.38,29.57,5,0,125,49,253,1134,"essential,otc",Zolpidem 20mg + Excipients,30039000,3027,C,Aurobindo
Lamivudine 762,MED18794,Antihypertensive,Drops,137.13,110.47,18,0,185,26,334,2823,generic,Lamivudine 100mg + Excipients,30043900,1069,X,Lupin
Diclofenac 453mg,MED87813,Antifungal,Ointment,233.46,216.23,28,2,187,11,420,2303,branded,Diclofenac 10mg + Excipients,30044000,4134,X,Boehringer Ingelheim India
Lamivudine 140,MED28393,Sedative,Patch,210.65,169.83,12,0,81,26,315,4523,"prescription,essential,generic",Lamivudine 100mg + Excipients,30039000,8687,X,Alkem
Erythromycin 797,MED45128,Mineral,Cream,272.82,227.69,5,0,125,33,256,1684,generic,Erythromycin 100mg + Excipients,30031000,7924,H1,Abbott India
Zidovudine 148mg,MED51349,Nasal,Inhaler,233.35,201.22,12,0,152,40,370,4838,"generic,prescription",Zidovudine 5mg + Excipients,30043100,4454,C,Lupin
Azithromycin 824,MED77042,Antihistamine,Cream,53.21,45.51,12,0,182,41,498,4108,essential,Azithromycin 20mg + Excipients,30033900,8309,None,Dr. Reddys
Nevirapine 751,MED46313,Supplement,Gel,239.7,201.08,18,0,175,49,345,4250,essential,Nevirapine 5mg + Excipients,30042000,1801,None,Bayer India
Metformin 854,MED61751,Bronchodilator,Syrup,103.98,86.45,5,0,169,31,329,3377,"generic,otc",Metformin 500mg + Excipients,30032000,4577,H,Torrent
Azithromycin 498ml,MED84875,Antidiabetic,Tablet,23.94,21.27,18,0,119,23,488,1745,prescription,Azithromycin 10mg + Excipients,30033900,4823,X,Abbott India
Dexamethasone 657,MED35013,Otic,Injection,465.85,394.09,5,0,134,41,168,2075,"prescription,otc",Dexamethasone 5mg + Excipients,30039000,3359,None,Mankind
Raltegravir 887,MED64444,Otic,Gel,83.95,79.28,5,0,162,44,310,3393,"prescription,branded,otc",Raltegravir 500mg + Excipients,30033100,9441,H1,Cadila
Atazanavir 688,MED45317,Ophthalmic,Syrup,142.59,114.42,5,0,106,38,112,2209,"branded,generic",Atazanavir 5mg + Excipients,30043100,6393,H1,GSK India
Iron 430mg,MED20513,Ophthalmic,Cream,88.64,81.58,18,0,146,30,191,4628,"essential,otc",Iron 500mg + Excipients,30033100,1408,None,Alkem
Ribavirin 882,MED60661,Otic,Gel,371.49,322.73,12,0,137,33,219,4952,"generic,prescription,branded",Ribavirin 10mg + Excipients,30031000,5041,H,Lupin
Atorvastatin 467ml,MED15768,Ophthalmic,Injection,428.02,371.7,12,0,192,37,292,1126,generic,Atorvastatin 20mg + Excipients,30039000,1362,H,Novartis India
Cabotegravir 973,MED84999,Laxative,Gel,149.99,140.37,18,0,89,35,259,1185,"essential,otc,prescription",Cabotegravir 5mg + Excipients,30032000,7104,C,Sanofi India
Ledipasvir 833ml,MED49420,Otic,Patch,299.74,241.51,5,0,110,41,273,1324,"branded,generic,essential",Ledipasvir 20mg + Excipients,30049000,9668,None,Alkem
Paracetamol 418mg,MED34905,Sedative,Ointment,70.12,63.9,28,0,200,33,378,1004,"essential,branded",Paracetamol 10mg + Excipients,30034000,5959,None,Lupin
Primaquine 792,MED53807,Mineral,Gel,439.96,387.67,28,1,84,43,447,2245,branded,Primaquine 5mg + Excipients,30033900,6190,H1,Abbott India
Prednisolone 644mg,MED13182,Antihypertensive,Tablet,316.14,292.17,18,0,155,24,185,2534,prescription,Prednisolone 500mg + Excipients,30049000,2693,H,Mankind
Famciclovir 925ml,MED57797,Analgesic,Ointment,429.62,351.21,5,0,147,46,454,2333,generic,Famciclovir 250mg + Excipients,30034000,6142,C,Mankind
Albendazole 481mg,MED81771,Nasal,Ointment,145.84,121.04,12,0,187,12,432,2210,generic,Albendazole 250mg + Excipients,30034000,3195,None,Merck India
Alprazolam 102ml,MED45891,Anxiolytic,Drops,128.8,111.78,28,1,158,15,112,1338,generic,Alprazolam 250mg + Excipients,30033100,4080,H1,Cadila
Omeprazole 186,MED42989,Steroid,Ointment,102.89,82.72,12,0,124,22,177,3786,otc,Omeprazole 20mg + Excipients,30033900,2513,H1,Aurobindo
Pantoprazole 803ml,MED89053,Mineral,Ointment,429.89,402.57,12,0,186,30,260,1013,"otc,essential,prescription",Pantoprazole 250mg + Excipients,30034000,8055,H,Merck India
Antacid 115ml,MED41709,Otic,Inhaler,376.69,314.9,5,0,118,33,339,3192,generic,Antacid 500mg + Excipients,30033100,2535,X,Boehringer Ingelheim India
Dolutegravir 350,MED59432,Antihypertensive,Patch,409.37,349.13,5,0,128,25,366,4153,"otc,essential",Dolutegravir 20mg + Excipients,30032000,7670,H1,Abbott India
Velpatasvir 754mg,MED76162,Bronchodilator,Cream,186.37,156.1,5,0,70,17,157,1975,"prescription,generic",Velpatasvir 5mg + Excipients,30041000,1726,X,Johnson & Johnson India
Bictegravir 823,MED16891,Antidiabetic,Capsule,209.77,188.88,28,0,120,21,182,3194,"otc,prescription,essential",Bictegravir 500mg + Excipients,30043100,2287,H1,Abbott India
Pantoprazole 249,MED82392,Antidepressant,Drops,452.75,399.24,12,0,61,19,190,1903,"essential,branded",Pantoprazole 10mg + Excipients,30041000,8224,C,AstraZeneca India
Artemether 507mg,MED87077,Ophthalmic,Ointment,416.82,364.41,28,0,152,48,451,4051,"prescription,generic",Artemether 10mg + Excipients,30049000,9799,H,Bayer India
Budesonide 553,MED30396,Sedative,Tablet,282.45,231.61,18,0,124,32,230,2932,"otc,essential",Budesonide 10mg + Excipients,30033900,4561,C,Merck India
Cetirizine 988mg,MED60592,Nasal,Drops,256.28,223.54,12,0,193,11,266,2827,essential,Cetirizine 5mg + Excipients,30044000,3848,C,Sanofi India
Chloroquine 862,MED80802,Antiparasitic,Tablet,187.54,163.63,18,0,134,43,107,1515,"prescription,otc,generic",Chloroquine 100mg + Excipients,30049000,3271,H1,Aurobindo
Didanosine 363,MED34106,Analgesic,Capsule,442.99,413.56,28,1,94,36,445,2846,"generic,essential",Didanosine 250mg + Excipients,30044000,6151,X,Bayer India
Zidovudine 710ml,MED42686,Sedative,Capsule,486.09,403.65,5,0,146,12,311,3211,prescription,Zidovudine 10mg + Excipients,30049000,2814,C,Cadila
Atazanavir 962ml,MED68904,Antiemetic,Injection,37.81,35.51,18,0,81,32,336,3047,"otc,prescription",Atazanavir 500mg + Excipients,30033100,6149,None,Cipla
Glecaprevir 648mg,MED35021,Vitamin,Drops,354.22,310.88,12,0,101,49,236,2644,generic,Glecaprevir 10mg + Excipients,30044000,6416,H,Pfizer India
Budesonide 287mg,MED49957,Antihypertensive,Inhaler,403.95,330.98,12,0,125,13,367,3259,generic,Budesonide 250mg + Excipients,30031000,3854,X,Cipla
Erythromycin 911mg,MED13252,Antibiotic,Patch,229.04,200.41,12,0,61,39,373,3565,"generic,prescription",Erythromycin 5mg + Excipients,30039000,2226,H1,Sanofi India
Antiseptic 342mg,MED94168,Laxative,Gel,119.85,104.59,12,0,135,41,211,1039,essential,Antiseptic 500mg + Excipients,30042000,8495,None,GSK India
Lorazepam 399mg,MED27004,Laxative,Inhaler,101.86,91.84,12,0,58,38,304,1847,"prescription,essential",Lorazepam 500mg + Excipients,30042000,7968,C,GSK India
Levofloxacin 913ml,MED20902,Antifungal,Injection,370.85,316.12,18,0,173,29,191,3224,prescription,Levofloxacin 500mg + Excipients,30031000,2302,X,Novartis India
Multivitamin 406mg,MED80033,Mineral,Syrup,204.23,172.61,18,0,177,20,226,3145,branded,Multivitamin 100mg + Excipients,30031000,3044,H1,Mankind
Levocetirizine 850ml,MED74217,Analgesic,Capsule,420.34,395.25,28,2,97,19,462,1870,"essential,branded,prescription",Levocetirizine 10mg + Excipients,30033900,9263,H,Aurobindo
Multivitamin 925ml,MED49581,Supplement,Gel,177.73,145.55,28,0,152,28,122,1788,branded,Multivitamin 500mg + Excipients,30041000,8284,X,Merck India
Diclofenac 331mg,MED84268,Anxiolytic,Patch,159.72,133.8,12,0,128,31,362,4511,branded,Diclofenac 100mg + Excipients,30039000,7825,H1,Sun Pharma
Famciclovir 940mg,MED77897,Antiparasitic,Ointment,253.38,211.82,18,0,55,22,474,4332,"branded,otc",Famciclovir 20mg + Excipients,30049000,2533,C,Cipla
Erythromycin 378mg,MED25150,Vitamin,Tablet,369.47,332.68,28,1,156,50,117,4460,otc,Erythromycin 20mg + Excipients,30033900,3791,X,Sun Pharma
Glecaprevir 639,MED51841,Antiparasitic,Gel,336.99,276.03,18,0,128,45,226,4004,"generic,otc",Glecaprevir 20mg + Excipients,30043100,8799,H1,Merck India
Dolutegravir 860,MED81580,Nasal,Inhaler,28.97,25.08,5,0,156,35,259,4570,"prescription,essential",Dolutegravir 5mg + Excipients,30041000,7794,None,AstraZeneca India
Elbasvir 136mg,MED53049,Antimalarial,Ointment,155.12,134.37,12,0,76,47,411,4772,branded,Elbasvir 5mg + Excipients,30031000,1814,None,Pfizer India
Antidiarrheal 885mg,MED84052,Vitamin,Injection,128.22,117.25,28,2,146,35,405,2245,"otc,prescription,generic",Antidiarrheal 250mg + Excipients,30043100,4644,X,Dr. Reddys
Antacid 964mg,MED15764,Antiparasitic,Gel,165.63,144.41,18,0,72,34,403,2787,"branded,generic,prescription",Antacid 20mg + Excipients,30043900,6867,C,GSK India
Amoxicillin 683ml,MED39402,Antiviral,Capsule,133.6,113.67,5,0,198,16,176,4824,"prescription,branded",Amoxicillin 20mg + Excipients,30039000,7661,H1,Torrent
Ear Drops 437,MED65097,Steroid,Ointment,295.49,276.47,12,0,113,42,252,4755,otc,Ear 10mg + Excipients,30031000,5463,H,Torrent
Zanamivir 302mg,MED19635,Antihypertensive,Ointment,31.44,29.42,28,1,154,12,489,4155,branded,Zanamivir 250mg + Excipients,30033900,4456,None,Novartis India
Antiseptic 856ml,MED91870,Antiviral,Tablet,21.15,18.45,12,0,194,38,405,4696,"otc,prescription,branded",Antiseptic 10mg + Excipients,30044000,7627,H,Alkem
Lamivudine 407mg,MED88456,Antiviral,Ointment,482.66,438.78,28,0,50,35,119,1279,generic,Lamivudine 100mg + Excipients,30032000,6635,H1,AstraZeneca India
Primaquine 117,MED69801,Antidepressant,Inhaler,12.92,11.82,28,2,192,16,123,1922,"branded,essential,generic",Primaquine 500mg + Excipients,30031000,9333,None,Torrent
Paracetamol 552mg,MED13958,Sedative,Injection,305.76,280.61,28,2,187,44,249,2023,"essential,generic,otc",Paracetamol 500mg + Excipients,30043900,1533,X,Alkem
Levocetirizine 803,MED17130,Steroid,Drops,297.32,258.17,5,0,97,42,354,3770,"generic,prescription",Levocetirizine 250mg + Excipients,30033900,8594,X,Sanofi India
Montelukast 286,MED35108,Antihistamine,Injection,312.56,252.55,18,0,175,33,261,2338,"prescription,generic",Montelukast 10mg + Excipients,30043100,8989,H,Sanofi India
Elbasvir 632mg,MED24448,Ophthalmic,Cream,462.74,384.44,5,0,177,13,116,3022,essential,Elbasvir 10mg + Excipients,30039000,8836,H,GSK India
Paroxetine 259ml,MED64301,Bronchodilator,Tablet,352.93,287.49,5,0,88,50,209,1586,prescription,Paroxetine 20mg + Excipients,30031000,7297,None,Aurobindo
Ribavirin 622,MED68478,Antiemetic,Injection,132.8,113.37,18,0,59,30,497,4537,"generic,branded,otc",Ribavirin 10mg + Excipients,30031000,2620,None,Aurobindo
Fluoxetine 603mg,MED84233,Antihistamine,Ointment,344.3,305.76,18,0,86,23,489,3903,"generic,branded,prescription",Fluoxetine 20mg + Excipients,30039000,9114,H1,AstraZeneca India
Fluoxetine 537mg,MED76805,Antiemetic,Cream,68.21,63.78,28,0,87,39,267,4814,"prescription,branded",Fluoxetine 10mg + Excipients,30032000,7914,H1,GSK India
Ibuprofen 508,MED26535,Vitamin,Gel,88.2,72.41,28,0,70,41,173,2057,"prescription,branded,otc",Ibuprofen 500mg + Excipients,30033900,9874,C,Novartis India
Grazoprevir 857ml,MED66974,Antihypertensive,Capsule,82.36,69.51,28,0,143,43,151,1403,branded,Grazoprevir 250mg + Excipients,30043900,7402,C,Johnson & Johnson India
Zolpidem 813ml,MED91482,Mineral,Syrup,78.69,63.74,28,2,172,35,101,4490,"branded,prescription,essential",Zolpidem 5mg + Excipients,30031000,7039,H1,Abbott India
Zanamivir 228ml,MED62750,Antidepressant,Syrup,485.44,428.84,12,0,136,29,177,2701,"prescription,otc",Zanamivir 500mg + Excipients,30049000,2848,None,Novartis India
Laxative 180mg,MED31932,Vitamin,Cream,93.52,86.52,12,0,57,49,443,3156,"branded,generic",Laxative 20mg + Excipients,30043100,5152,X,Novartis India
Sofosbuvir 612mg,MED67696,Antibiotic,Capsule,249.25,224.04,18,0,68,34,379,1455,otc,Sofosbuvir 500mg + Excipients,30033100,1942,None,Eli Lilly India
Fluoxetine 748mg,MED64465,Antiemetic,Cream,450.88,418.31,18,0,178,28,357,2395,"otc,essential,prescription",Fluoxetine 5mg + Excipients,30042000,3873,H,Sun Pharma
Amoxicillin 377,MED80933,Laxative,Gel,44.84,39.27,5,0,55,33,427,3735,generic,Amoxicillin 100mg + Excipients,30049000,9147,X,Cadila
Prednisolone 697ml,MED77035,Otic,Tablet,48.83,42.75,28,2,198,14,453,4105,"prescription,generic,essential",Prednisolone 100mg + Excipients,30039000,1506,H,Dr. Reddys
Diclofenac 769mg,MED42808,Otic,Injection,478.63,412.52,12,0,151,14,479,4483,generic,Diclofenac 10mg + Excipients,30041000,2984,C,AstraZeneca India
Chloroquine 126,MED79857,Antidiabetic,Syrup,60.54,53.22,5,0,142,26,104,2701,"essential,branded",Chloroquine 250mg + Excipients,30044000,2746,None,Johnson & Johnson India
Albendazole 883mg,MED11999,Antimalarial,Syrup,309.18,247.53,12,0,83,28,160,1746,"prescription,branded",Albendazole 10mg + Excipients,30033100,5212,None,Lupin
Multivitamin 616,MED23514,Analgesic,Ointment,192.24,171.08,18,0,191,27,499,3148,"generic,otc,prescription",Multivitamin 100mg + Excipients,30043100,3670,C,Sanofi India
Eye Drops 512,MED85337,Antimalarial,Gel,270.34,243.37,18,0,127,27,149,2947,"essential,generic,prescription",Eye 250mg + Excipients,30042000,7894,C,Cipla
Doxycycline 106mg,MED95520,Otic,Capsule,293.88,253.68,5,0,87,48,130,4491,"prescription,otc",Doxycycline 5mg + Excipients,30043100,3152,H1,Abbott India
Atazanavir 869mg,MED31664,Antidepressant,Gel,425.01,390.09,28,0,154,26,156,4401,"generic,prescription,otc",Atazanavir 5mg + Excipients,30033100,1896,H1,Lupin
Chloroquine 753,MED43250,Ophthalmic,Tablet,147.44,120.6,12,0,80,13,287,2937,essential,Chloroquine 20mg + Excipients,30042000,8584,H1,Cipla
Efavirenz 225,MED19257,Antiviral,Capsule,270.12,226.1,28,2,159,23,139,1185,"generic,otc",Efavirenz 10mg + Excipients,30033900,9256,H1,Mankind
Levofloxacin 241,MED91552,Antimalarial,Ointment,189.17,177.79,28,2,122,17,500,4642,"prescription,essential",Levofloxacin 20mg + Excipients,30033100,1948,X,Alkem
Abacavir 901,MED28092,Antacid,Inhaler,410.2,350.53,5,0,125,36,383,3964,"generic,otc",Abacavir 100mg + Excipients,30039000,3451,H,Dr. Reddys
Antacid 752ml,MED36787,Antidiabetic,Injection,301.51,246.63,18,0,104,42,218,3903,branded,Antacid 10mg + Excipients,30049000,8821,C,Merck India
Erythromycin 833,MED77341,Otic,Syrup,259.52,240.33,18,0,120,26,353,1086,"prescription,branded,otc",Erythromycin 10mg + Excipients,30034000,7904,H1,Mankind
